city,year,air_quality_rating
Alba Iulia,2015,Moderate
Alba Iulia,2016,Moderate
Alba Iulia,2017,Moderate
Alba Iulia,2018,Moderate
Alba Iulia,2019,Moderate
Alba Iulia,2021,Moderate
Alba Iulia,2022,Moderate
Alba iulia,2010,Moderate
Alba iulia,2013,Moderate
Albacete,2010,Moderate
Albacete,2011,Moderate
Albacete,2012,Moderate
Albacete,2013,Moderate
Albacete,2014,Moderate
Albacete,2015,Moderate
Albacete,2016,Moderate
Albacete,2017,Moderate
Albacete,2018,Moderate
Albacete,2019,Moderate
Albacete,2020,Moderate
Albacete,2021,Moderate
Albalat dels Tarongers,2013,Good
Albalat dels Tarongers,2014,Good
Albalat dels Tarongers,2015,Good
Albalat dels Tarongers,2016,Good
Albalat dels Tarongers,2017,Good
Albalat dels Tarongers,2018,Good
Albalat dels Tarongers,2019,Good
Albalat dels Tarongers,2020,Good
Albalat dels Tarongers,2021,Good
Albalat dels tarongers,2010,Moderate
Albalat dels tarongers,2013,Good
Albany,2010,Moderate
Albany,2011,Moderate
Albany,2012,Moderate
Albany,2013,Moderate
Albany,2014,Moderate
Albany,2015,Moderate
Albany,2016,Moderate
"Albany, GA",2010,Moderate
"Albany, GA",2011,Moderate
"Albany, GA",2012,Moderate
"Albany, GA",2013,Moderate
"Albany, GA",2014,Moderate
"Albany, GA",2015,Moderate
"Albany, GA",2016,Moderate
"Albany, GA",2017,Moderate
"Albany, GA",2018,Moderate
"Albany, GA",2019,Moderate
"Albany, GA",2020,Moderate
"Albany, GA",2021,Moderate
"Albany-Schenectady-Troy, NY",2010,Moderate
"Albany-Schenectady-Troy, NY",2011,Moderate
"Albany-Schenectady-Troy, NY",2012,Moderate
"Albany-Schenectady-Troy, NY",2013,Moderate
"Albany-Schenectady-Troy, NY",2014,Moderate
"Albany-Schenectady-Troy, NY",2015,Moderate
"Albany-Schenectady-Troy, NY",2016,Moderate
"Albany-Schenectady-Troy, NY",2017,Moderate
"Albany-Schenectady-Troy, NY",2018,Moderate
"Albany-Schenectady-Troy, NY",2019,Moderate
"Albany-Schenectady-Troy, NY",2020,Moderate
"Albany-Schenectady-Troy, NY",2021,Moderate
Albenga,2010,Moderate
Albenga,2013,Moderate
Albenga,2014,Moderate
Albenga,2015,Moderate
Albenga,2016,Moderate
Albenga,2017,Moderate
Albenga,2018,Moderate
Albenga,2019,Moderate
Albenga,2020,Good
Albenga,2021,Good
Albertville,2010,Moderate
Albertville,2013,Moderate
Albertville,2014,Moderate
Albertville,2015,Moderate
Albertville,2016,Moderate
Albertville,2017,Moderate
Albertville,2018,Good
Albertville,2019,Good
Albertville,2020,Good
Albertville,2021,Good
Albes,2013,Moderate
Albes,2014,Moderate
Albes,2015,Moderate
Albes,2016,Moderate
Albes,2018,Moderate
Albes,2019,Moderate
Albes,2020,Moderate
Albes,2021,Moderate
Albi,2010,Moderate
Albi,2013,Moderate
Albi,2014,Moderate
Albi,2015,Moderate
Albi,2016,Moderate
Albi,2017,Moderate
Albi,2018,Moderate
Albi,2019,Moderate
Albi,2020,Moderate
Albi,2021,Moderate
Albisola Marina,2013,Moderate
Albisola Marina,2014,Moderate
Albisola Marina,2015,Moderate
Albisola Marina,2020,Moderate
Albisola Marina,2021,Moderate
Albisola superiore,2013,Moderate
Albufeira,2013,Moderate
Albufeira,2014,Moderate
Albufeira,2015,Moderate
Albufeira,2016,Moderate
Albufeira,2017,Moderate
Albufeira,2018,Moderate
Albufeira,2019,Moderate
Albufeira,2020,Moderate
"Albuquerque, NM",2010,Moderate
"Albuquerque, NM",2011,Moderate
"Albuquerque, NM",2012,Moderate
"Albuquerque, NM",2013,Moderate
"Albuquerque, NM",2014,Moderate
"Albuquerque, NM",2015,Moderate
"Albuquerque, NM",2016,Moderate
"Albuquerque, NM",2017,Moderate
"Albuquerque, NM",2018,Moderate
"Albuquerque, NM",2019,Moderate
"Albuquerque, NM",2020,Moderate
"Albuquerque, NM",2021,Moderate
Albury,2013,Moderate
Albury,2014,Moderate
Albury,2015,Moderate
Albury,2016,Moderate
Albury,2019,Moderate
Alcala de guadaira,2010,Moderate
Alcala de guadaira,2013,Moderate
Alcala de henares,2010,Moderate
Alcala de henares,2013,Moderate
Alcalá de Guadaíra,2013,Moderate
Alcalá de Guadaíra,2014,Moderate
Alcalá de Guadaíra,2015,Moderate
Alcalá de Guadaíra,2016,Moderate
Alcalá de Guadaíra,2017,Moderate
Alcalá de Guadaíra,2018,Moderate
Alcalá de Guadaíra,2019,Moderate
Alcalá de Guadaíra,2020,Moderate
Alcalá de Guadaíra,2021,Moderate
Alcalá de Henares,2013,Moderate
Alcalá de Henares,2014,Moderate
Alcalá de Henares,2015,Moderate
Alcalá de Henares,2016,Moderate
Alcalá de Henares,2017,Moderate
Alcalá de Henares,2018,Moderate
Alcalá de Henares,2019,Moderate
Alcalá de Henares,2020,Moderate
Alcalá de Henares,2021,Good
Alcanar,2012,Moderate
Alcanar,2013,Moderate
Alcanar,2014,Good
Alcanar,2015,Good
Alcanar,2016,Good
Alcaniz,2010,Moderate
Alcaniz,2012,Moderate
Alcaniz,2013,Moderate
Alcantarilla,2010,Moderate
Alcantarilla,2013,Moderate
Alcantarilla,2014,Moderate
Alcantarilla,2015,Moderate
Alcantarilla,2016,Moderate
Alcantarilla,2017,Moderate
Alcantarilla,2018,Moderate
Alcantarilla,2019,Moderate
